,driver,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time,years_since_reg_change
0,HAM,Australia,2014,4.06,77.014,25.0,Dry,104.231,0
1,RIC,Australia,2014,10.0,77.014,25.0,Dry,104.548,0
2,MAG,Australia,2014,12.0,77.014,25.0,Dry,105.745,0
3,ALO,Australia,2014,8.42,77.014,25.0,Dry,105.819,0
4,HUL,Australia,2014,10.91,77.014,25.0,Dry,106.03,0
5,BOT,Australia,2014,12.33,77.014,25.0,Dry,108.14699999999999,0
6,PER,Australia,2014,12.5,77.014,25.0,Dry,94.14099999999999,0
7,HAM,Bahrain,2014,3.94,90.021,25.0,Dry,93.464,0
8,RIC,Bahrain,2014,8.69,90.021,25.0,Dry,94.051,0
9,BOT,Bahrain,2014,5.92,90.021,25.0,Dry,94.247,0
10,PER,Bahrain,2014,9.21,90.021,25.0,Dry,94.346,0
11,MAG,Bahrain,2014,13.4,90.021,25.0,Dry,94.712,0
12,ALO,Bahrain,2014,8.0,90.021,25.0,Dry,94.99199999999999,0
13,HUL,Bahrain,2014,11.25,90.021,25.0,Dry,95.116,0
14,HAM,China,2014,5.5,94.837,25.0,Dry,113.86,0
15,RIC,China,2014,7.22,94.837,25.0,Dry,114.455,0
16,ALO,China,2014,6.31,94.837,25.0,Dry,115.637,0
17,BOT,China,2014,6.25,94.837,25.0,Dry,116.282,0
18,HUL,China,2014,11.0,94.837,25.0,Dry,116.366,0
19,MAG,China,2014,13.5,94.837,25.0,Dry,117.675,0
20,PER,China,2014,10.0,94.837,25.0,Dry,118.362,0
21,HAM,Spain,2014,4.33,72.256,25.0,Dry,85.232,0
22,RIC,Spain,2014,9.5,72.256,25.0,Dry,86.285,0
23,BOT,Spain,2014,6.42,72.256,25.0,Dry,86.632,0
24,ALO,Spain,2014,7.29,72.256,25.0,Dry,87.14,0
25,HUL,Spain,2014,13.45,72.256,25.0,Dry,87.685,0
26,PER,Spain,2014,10.0,72.256,25.0,Dry,88.002,0
27,HAM,Monaco,2014,5.47,71.266,25.0,Dry,76.048,0
28,RIC,Monaco,2014,7.73,71.266,25.0,Dry,76.384,0
29,ALO,Monaco,2014,8.1,71.266,25.0,Dry,76.686,0
30,MAG,Monaco,2014,13.63,71.266,25.0,Dry,77.555,0
31,PER,Monaco,2014,11.17,71.266,25.0,Dry,78.327,0
32,HUL,Monaco,2014,11.64,71.266,25.0,Dry,77.846,0
33,BOT,Monaco,2014,10.0,71.266,25.0,Dry,78.082,0
34,HAM,Canada,2014,2.47,72.705,25.0,Dry,74.953,0
35,BOT,Canada,2014,7.3,72.705,25.0,Dry,75.55,0
36,RIC,Canada,2014,7.4,72.705,25.0,Dry,75.589,0
37,ALO,Canada,2014,6.37,72.705,25.0,Dry,75.814,0
38,HUL,Canada,2014,9.73,72.705,25.0,Dry,76.3,0
39,MAG,Canada,2014,14.38,72.705,25.0,Dry,76.31,0
40,PER,Canada,2014,12.27,72.705,25.0,Dry,76.47200000000001,0
41,BOT,Austria,2014,6.69,65.288,25.0,Dry,68.846,0
