,driver,constructor,track,year,avg_grid_pos_track,track_avg_lap_time,temperature,rain,target_time,years_since_reg_change
0,HAM,Mercedes,Australia,2014,4.06,77.014,25.0,False,104.231,0
1,RIC,Red Bull,Australia,2014,10.0,77.014,25.0,False,104.548,0
2,MAG,McLaren,Australia,2014,12.0,77.014,25.0,False,105.745,0
3,ALO,Ferrari,Australia,2014,8.42,77.014,25.0,False,105.819,0
4,HUL,Force India,Australia,2014,10.91,77.014,25.0,False,106.03,0
5,BOT,Williams,Australia,2014,12.33,77.014,25.0,False,108.14699999999999,0
6,PER,Force India,Australia,2014,12.5,77.014,25.0,False,94.14099999999999,0
7,HAM,Mercedes,Bahrain,2014,3.94,90.021,25.0,False,93.464,0
8,RIC,Red Bull,Bahrain,2014,8.69,90.021,25.0,False,94.051,0
9,BOT,Williams,Bahrain,2014,5.92,90.021,25.0,False,94.247,0
10,PER,Force India,Bahrain,2014,9.21,90.021,25.0,False,94.346,0
11,MAG,McLaren,Bahrain,2014,13.4,90.021,25.0,False,94.712,0
12,ALO,Ferrari,Bahrain,2014,8.0,90.021,25.0,False,94.99199999999999,0
13,HUL,Force India,Bahrain,2014,11.25,90.021,25.0,False,95.116,0
14,HAM,Mercedes,China,2014,5.5,94.837,25.0,False,113.86,0
15,RIC,Red Bull,China,2014,7.22,94.837,25.0,False,114.455,0
16,ALO,Ferrari,China,2014,6.31,94.837,25.0,False,115.637,0
17,BOT,Williams,China,2014,6.25,94.837,25.0,False,116.282,0
18,HUL,Force India,China,2014,11.0,94.837,25.0,False,116.366,0
19,MAG,McLaren,China,2014,13.5,94.837,25.0,False,117.675,0
20,PER,Force India,China,2014,10.0,94.837,25.0,False,118.362,0
21,HAM,Mercedes,Spain,2014,4.33,72.256,25.0,False,85.232,0
22,RIC,Red Bull,Spain,2014,9.5,72.256,25.0,False,86.285,0
23,BOT,Williams,Spain,2014,6.42,72.256,25.0,False,86.632,0
24,ALO,Ferrari,Spain,2014,7.29,72.256,25.0,False,87.14,0
25,HUL,Force India,Spain,2014,13.45,72.256,25.0,False,87.685,0
26,PER,Force India,Spain,2014,10.0,72.256,25.0,False,88.002,0
27,HAM,Mercedes,Monaco,2014,5.47,71.266,25.0,False,76.048,0
28,RIC,Red Bull,Monaco,2014,7.73,71.266,25.0,False,76.384,0
29,ALO,Ferrari,Monaco,2014,8.1,71.266,25.0,False,76.686,0
30,MAG,McLaren,Monaco,2014,13.63,71.266,25.0,False,77.555,0
31,PER,Force India,Monaco,2014,11.17,71.266,25.0,False,78.327,0
32,HUL,Force India,Monaco,2014,11.64,71.266,25.0,False,77.846,0
33,BOT,Williams,Monaco,2014,10.0,71.266,25.0,False,78.082,0
34,HAM,Mercedes,Canada,2014,2.47,72.705,25.0,False,74.953,0
35,BOT,Williams,Canada,2014,7.3,72.705,25.0,False,75.55,0
36,RIC,Red Bull,Canada,2014,7.4,72.705,25.0,False,75.589,0
37,ALO,Ferrari,Canada,2014,6.37,72.705,25.0,False,75.814,0
38,HUL,Force India,Canada,2014,9.73,72.705,25.0,False,76.3,0
39,MAG,McLaren,Canada,2014,14.38,72.705,25.0,False,76.31,0
40,PER,Force India,Canada,2014,12.27,72.705,25.0,False,76.47200000000001,0
41,BOT,Williams,Austria,2014,6.69,65.288,25.0,False,68.846,0
42,ALO,Ferrari,Austria,2014,14.08,65.288,25.0,False,69.285,0
43,RIC,Red Bull,Austria,2014,9.75,65.288,25.0,False,69.466,0
44,MAG,McLaren,Austria,2014,12.5,65.288,25.0,False,69.515,0
45,PER,Force India,Austria,2014,10.54,65.288,25.0,False,69.754,0
46,BOT,Williams,Hungary,2014,6.08,76.498,25.0,False,83.354,0
47,RIC,Red Bull,Hungary,2014,10.71,76.498,25.0,False,83.39099999999999,0
48,ALO,Ferrari,Hungary,2014,7.29,76.498,25.0,False,83.90899999999999,0
49,HUL,Force India,Hungary,2014,10.73,76.498,25.0,False,84.775,0
50,PER,Force India,Hungary,2014,11.57,76.498,25.0,False,85.211,0
51,HAM,Mercedes,Singapore,2014,2.93,92.076,25.0,False,105.681,0
52,RIC,Red Bull,Singapore,2014,9.9,92.076,25.0,False,105.854,0
53,ALO,Ferrari,Singapore,2014,7.31,92.076,25.0,False,105.907,0
54,BOT,Williams,Singapore,2014,9.67,92.076,25.0,False,106.187,0
55,MAG,McLaren,Singapore,2014,12.0,92.076,25.0,False,106.25,0
56,HUL,Force India,Singapore,2014,10.5,92.076,25.0,False,107.30799999999999,0
57,PER,Force India,Singapore,2014,12.09,92.076,25.0,False,107.575,0
58,HAM,Mercedes,Russia,2014,3.25,93.247,25.0,False,98.513,0
59,BOT,Williams,Russia,2014,4.38,93.247,25.0,False,98.92,0
60,MAG,McLaren,Russia,2014,12.83,93.247,25.0,False,99.62899999999999,0
61,RIC,Red Bull,Russia,2014,8.0,93.247,25.0,False,99.63499999999999,0
62,ALO,Ferrari,Russia,2014,12.83,93.247,25.0,False,99.709,0
63,HUL,Force India,Russia,2014,10.33,93.247,25.0,False,100.05799999999999,0
64,PER,Force India,Russia,2014,8.13,93.247,25.0,False,100.163,0
65,HAM,Mercedes,Brazil,2014,5.19,70.513,25.0,False,70.056,0
66,BOT,Williams,Brazil,2014,7.6,70.513,25.0,False,70.305,0
67,MAG,McLaren,Brazil,2014,11.0,70.513,25.0,False,70.969,0
68,ALO,Ferrari,Brazil,2014,8.8,70.513,25.0,False,70.977,0
69,RIC,Red Bull,Brazil,2014,12.75,70.513,25.0,False,71.075,0
70,HUL,Force India,Brazil,2014,8.6,70.513,25.0,False,71.976,0
71,PER,Force India,Brazil,2014,11.25,70.513,25.0,False,72.076,0
72,HAM,Mercedes,Australia,2015,4.06,77.014,25.0,False,86.327,1
73,BOT,Williams,Australia,2015,12.33,77.014,25.0,False,88.087,1
74,RIC,Red Bull,Australia,2015,10.0,77.014,25.0,False,88.32900000000001,1
75,SAI,Toro Rosso,Australia,2015,8.13,77.014,25.0,False,88.51,1
76,HUL,Force India,Australia,2015,10.91,77.014,25.0,False,89.208,1
77,PER,Force India,Australia,2015,12.5,77.014,25.0,False,89.209,1
78,MAG,McLaren,Australia,2015,12.0,77.014,25.0,False,92.037,1
79,HAM,Mercedes,China,2015,5.5,94.837,25.0,False,95.782,1
80,BOT,Williams,China,2015,6.25,94.837,25.0,False,97.143,1
81,RIC,Red Bull,China,2015,7.22,94.837,25.0,False,97.53999999999999,1
82,SAI,Toro Rosso,China,2015,10.5,94.837,25.0,False,98.538,1
83,PER,Force India,China,2015,10.0,94.837,25.0,False,99.28999999999999,1
84,HUL,Force India,China,2015,11.0,94.837,25.0,False,99.21600000000001,1
85,ALO,McLaren,China,2015,6.31,94.837,25.0,False,99.28,1
86,HAM,Mercedes,Bahrain,2015,3.94,90.021,25.0,False,92.571,1
87,BOT,Williams,Bahrain,2015,5.92,90.021,25.0,False,93.381,1
88,RIC,Red Bull,Bahrain,2015,8.69,90.021,25.0,False,93.832,1
89,HUL,Force India,Bahrain,2015,11.25,90.021,25.0,False,94.45,1
90,SAI,Toro Rosso,Bahrain,2015,8.64,90.021,25.0,False,94.462,1
91,PER,Force India,Bahrain,2015,9.21,90.021,25.0,False,94.70400000000001,1
92,ALO,McLaren,Bahrain,2015,8.0,90.021,25.0,False,95.039,1
93,HAM,Mercedes,Spain,2015,4.33,72.256,25.0,False,84.94800000000001,1
94,BOT,Williams,Spain,2015,6.42,72.256,25.0,False,85.694,1
95,SAI,Toro Rosso,Spain,2015,7.0,72.256,25.0,False,86.136,1
96,RIC,Red Bull,Spain,2015,9.5,72.256,25.0,False,86.77,1
97,ALO,McLaren,Spain,2015,7.29,72.256,25.0,False,87.76,1
98,HUL,Force India,Spain,2015,13.45,72.256,25.0,False,88.365,1
99,PER,Force India,Spain,2015,10.0,72.256,25.0,False,88.44200000000001,1
100,HAM,Mercedes,Monaco,2015,5.47,71.266,25.0,False,75.098,1
101,RIC,Red Bull,Monaco,2015,7.73,71.266,25.0,False,76.041,1
102,PER,Force India,Monaco,2015,11.17,71.266,25.0,False,76.80799999999999,1
103,SAI,Toro Rosso,Monaco,2015,6.89,71.266,25.0,False,76.931,1
104,HUL,Force India,Monaco,2015,11.64,71.266,25.0,False,77.193,1
105,ALO,McLaren,Monaco,2015,8.1,71.266,25.0,False,86.632,1
106,BOT,Williams,Monaco,2015,10.0,71.266,25.0,False,78.434,1
107,HAM,Mercedes,Canada,2015,2.47,72.705,25.0,False,74.393,1
108,BOT,Williams,Canada,2015,7.3,72.705,25.0,False,75.102,1
109,HUL,Force India,Canada,2015,9.73,72.705,25.0,False,75.614,1
110,RIC,Red Bull,Canada,2015,7.4,72.705,25.0,False,76.114,1
111,PER,Force India,Canada,2015,12.27,72.705,25.0,False,76.338,1
112,SAI,Toro Rosso,Canada,2015,11.25,72.705,25.0,False,76.042,1
113,ALO,McLaren,Canada,2015,6.37,72.705,25.0,False,76.276,1
114,HAM,Mercedes,Austria,2015,4.23,65.288,25.0,False,68.455,1
115,HUL,Force India,Austria,2015,8.75,65.288,25.0,False,69.278,1
116,BOT,Williams,Austria,2015,6.69,65.288,25.0,False,69.319,1
117,SAI,Toro Rosso,Austria,2015,9.0,65.288,25.0,False,70.465,1
118,RIC,Red Bull,Austria,2015,9.75,65.288,25.0,False,70.482,1
119,ALO,McLaren,Austria,2015,14.08,65.288,25.0,False,70.736,1
120,PER,Force India,Austria,2015,10.54,65.288,25.0,False,72.522,1
121,HAM,Mercedes,Hungary,2015,3.5,76.498,25.0,False,82.02,1
122,RIC,Red Bull,Hungary,2015,10.71,76.498,25.0,False,82.774,1
123,BOT,Williams,Hungary,2015,6.08,76.498,25.0,False,83.22200000000001,1
124,HUL,Force India,Hungary,2015,10.73,76.498,25.0,False,83.826,1
125,SAI,Toro Rosso,Hungary,2015,8.1,76.498,25.0,False,83.869,1
126,PER,Force India,Hungary,2015,11.57,76.498,25.0,False,84.461,1
127,RIC,Red Bull,Singapore,2015,9.9,92.076,25.0,False,104.428,1
128,HAM,Mercedes,Singapore,2015,2.93,92.076,25.0,False,105.3,1
129,BOT,Williams,Singapore,2015,9.67,92.076,25.0,False,105.676,1
130,HUL,Force India,Singapore,2015,10.5,92.076,25.0,False,106.305,1
131,ALO,McLaren,Singapore,2015,7.31,92.076,25.0,False,106.328,1
132,PER,Force India,Singapore,2015,12.09,92.076,25.0,False,106.38499999999999,1
133,SAI,Toro Rosso,Singapore,2015,7.71,92.076,25.0,False,106.894,1
134,HAM,Mercedes,Russia,2015,3.25,93.247,25.0,False,97.43299999999999,1
135,BOT,Williams,Russia,2015,4.38,93.247,25.0,False,97.912,1
136,HUL,Force India,Russia,2015,10.33,93.247,25.0,False,98.65899999999999,1
137,PER,Force India,Russia,2015,8.13,93.247,25.0,False,98.691,1
138,RIC,Red Bull,Russia,2015,8.0,93.247,25.0,False,99.72800000000001,1
139,ALO,McLaren,Russia,2015,12.83,93.247,25.0,False,100.144,1
140,HAM,Mercedes,Mexico,2015,2.88,78.306,25.0,False,79.668,1
141,RIC,Red Bull,Mexico,2015,7.63,78.306,25.0,False,80.399,1
142,BOT,Williams,Mexico,2015,5.63,78.306,25.0,False,80.44800000000001,1
143,PER,Force India,Mexico,2015,8.38,78.306,25.0,False,80.71600000000001,1
144,HUL,Force India,Mexico,2015,8.83,78.306,25.0,False,80.788,1
145,SAI,Toro Rosso,Mexico,2015,7.13,78.306,25.0,False,80.94200000000001,1
146,ALO,McLaren,Mexico,2015,13.29,78.306,25.0,False,81.779,1
147,HAM,Mercedes,Brazil,2015,5.19,70.513,25.0,False,71.36,1
148,BOT,Williams,Brazil,2015,7.6,70.513,25.0,False,72.08500000000001,1
149,HUL,Force India,Brazil,2015,8.6,70.513,25.0,False,72.265,1
150,RIC,Red Bull,Brazil,2015,12.75,70.513,25.0,False,72.417,1
151,SAI,Toro Rosso,Brazil,2015,10.63,70.513,25.0,False,73.045,1
152,PER,Force India,Brazil,2015,11.25,70.513,25.0,False,73.147,1
153,HAM,Mercedes,Australia,2016,4.06,77.014,25.0,False,83.837,2
154,SAI,Toro Rosso,Australia,2016,8.13,77.014,25.0,False,85.582,2
155,RIC,Red Bull,Australia,2016,10.0,77.014,25.0,False,85.589,2
156,BOT,Williams,Australia,2016,12.33,77.014,25.0,False,85.961,2
157,ALO,McLaren,Australia,2016,8.42,77.014,25.0,False,86.125,2
158,MAG,Renault,Australia,2016,12.0,77.014,25.0,False,87.742,2
159,HAM,Mercedes,Bahrain,2016,3.94,90.021,25.0,False,89.493,2
160,RIC,Red Bull,Bahrain,2016,8.69,90.021,25.0,False,90.854,2
161,BOT,Williams,Bahrain,2016,5.92,90.021,25.0,False,91.15299999999999,2
162,HUL,Force India,Bahrain,2016,11.25,90.021,25.0,False,91.62,2
163,SAI,Toro Rosso,Bahrain,2016,8.64,90.021,25.0,False,91.816,2
164,PER,Force India,Bahrain,2016,9.21,90.021,25.0,False,92.911,2
165,MAG,Renault,Bahrain,2016,13.4,90.021,25.0,False,93.181,2
166,RIC,Red Bull,China,2016,7.22,94.837,25.0,False,95.917,2
167,BOT,Williams,China,2016,6.25,94.837,25.0,False,96.29599999999999,2
168,PER,Force India,China,2016,10.0,94.837,25.0,False,96.86500000000001,2
169,SAI,Toro Rosso,China,2016,10.5,94.837,25.0,False,96.881,2
170,ALO,McLaren,China,2016,6.31,94.837,25.0,False,98.826,2
171,MAG,Renault,China,2016,13.5,94.837,25.0,False,98.673,2
172,BOT,Williams,Russia,2016,4.38,93.247,25.0,False,96.536,2
173,RIC,Red Bull,Russia,2016,8.0,93.247,25.0,False,97.125,2
174,PER,Force India,Russia,2016,8.13,93.247,25.0,False,97.212,2
175,SAI,Toro Rosso,Russia,2016,9.86,93.247,25.0,False,97.652,2
176,HUL,Force India,Russia,2016,10.33,93.247,25.0,False,97.771,2
177,ALO,McLaren,Russia,2016,12.83,93.247,25.0,False,97.807,2
178,MAG,Renault,Russia,2016,12.83,93.247,25.0,False,98.914,2
179,RIC,Red Bull,Spain,2016,9.5,72.256,25.0,False,82.68,2
180,BOT,Williams,Spain,2016,6.42,72.256,25.0,False,83.52199999999999,2
181,SAI,Toro Rosso,Spain,2016,7.0,72.256,25.0,False,83.643,2
182,PER,Force India,Spain,2016,10.0,72.256,25.0,False,83.782,2
183,ALO,McLaren,Spain,2016,7.29,72.256,25.0,False,83.981,2
184,HUL,Force India,Spain,2016,13.45,72.256,25.0,False,84.203,2
185,MAG,Renault,Spain,2016,12.44,72.256,25.0,False,84.625,2
186,RIC,Red Bull,Monaco,2016,7.73,71.266,25.0,False,73.622,2
187,HAM,Mercedes,Monaco,2016,5.47,71.266,25.0,False,73.94200000000001,2
188,HUL,Force India,Monaco,2016,11.64,71.266,25.0,False,74.726,2
189,SAI,Toro Rosso,Monaco,2016,6.89,71.266,25.0,False,74.749,2
190,PER,Force India,Monaco,2016,11.17,71.266,25.0,False,74.902,2
191,ALO,McLaren,Monaco,2016,8.1,71.266,25.0,False,75.363,2
192,BOT,Williams,Monaco,2016,10.0,71.266,25.0,False,75.273,2
193,MAG,Renault,Monaco,2016,13.63,71.266,25.0,False,76.253,2
194,HAM,Mercedes,Canada,2016,2.47,72.705,25.0,False,72.812,2
195,RIC,Red Bull,Canada,2016,7.4,72.705,25.0,False,73.166,2
196,BOT,Williams,Canada,2016,7.3,72.705,25.0,False,73.67,2
197,HUL,Force India,Canada,2016,9.73,72.705,25.0,False,73.952,2
198,ALO,McLaren,Canada,2016,6.37,72.705,25.0,False,74.338,2
199,PER,Force India,Canada,2016,12.27,72.705,25.0,False,74.31700000000001,2
200,SAI,Toro Rosso,Canada,2016,11.25,72.705,25.0,False,74.714,2
201,HAM,Mercedes,Austria,2016,4.23,65.288,25.0,False,67.922,2
202,HUL,Force India,Austria,2016,8.75,65.288,25.0,False,69.285,2
203,RIC,Red Bull,Austria,2016,9.75,65.288,25.0,False,69.98,2
204,BOT,Williams,Austria,2016,6.69,65.288,25.0,False,70.44,2
205,ALO,McLaren,Austria,2016,14.08,65.288,25.0,False,68.154,2
206,PER,Force India,Austria,2016,10.54,65.288,25.0,False,67.657,2
207,MAG,Renault,Austria,2016,12.5,65.288,25.0,False,67.941,2
208,HAM,Mercedes,Hungary,2016,3.5,76.498,25.0,False,80.108,2
209,RIC,Red Bull,Hungary,2016,10.71,76.498,25.0,False,80.28,2
210,SAI,Toro Rosso,Hungary,2016,8.1,76.498,25.0,False,81.131,2
211,ALO,McLaren,Hungary,2016,7.29,76.498,25.0,False,81.211,2
212,HUL,Force India,Hungary,2016,10.73,76.498,25.0,False,81.82300000000001,2
213,BOT,Williams,Hungary,2016,6.08,76.498,25.0,False,82.182,2
214,PER,Force India,Hungary,2016,11.57,76.498,25.0,False,85.416,2
215,MAG,Renault,Hungary,2016,15.67,76.498,25.0,False,104.543,2
216,RIC,Red Bull,Singapore,2016,9.9,92.076,25.0,False,103.11500000000001,2
217,HAM,Mercedes,Singapore,2016,2.93,92.076,25.0,False,103.288,2
218,SAI,Toro Rosso,Singapore,2016,7.71,92.076,25.0,False,104.197,2
219,HUL,Force India,Singapore,2016,10.5,92.076,25.0,False,104.479,2
220,ALO,McLaren,Singapore,2016,7.31,92.076,25.0,False,104.553,2
221,PER,Force India,Singapore,2016,12.09,92.076,25.0,False,104.582,2
222,BOT,Williams,Singapore,2016,9.67,92.076,25.0,False,104.74000000000001,2
223,MAG,Renault,Singapore,2016,12.0,92.076,25.0,False,106.825,2
224,HAM,Mercedes,Mexico,2016,2.88,78.306,25.0,False,78.70400000000001,2
225,RIC,Red Bull,Mexico,2016,7.63,78.306,25.0,False,79.133,2
226,HUL,Force India,Mexico,2016,8.83,78.306,25.0,False,79.33,2
227,BOT,Williams,Mexico,2016,5.63,78.306,25.0,False,79.551,2
228,SAI,Toro Rosso,Mexico,2016,7.13,78.306,25.0,False,80.378,2
229,ALO,McLaren,Mexico,2016,13.29,78.306,25.0,False,80.282,2
230,PER,Force India,Mexico,2016,8.38,78.306,25.0,False,80.287,2
231,MAG,Renault,Mexico,2016,16.0,78.306,25.0,False,81.131,2
232,OCO,Force India,Mexico,2016,13.5,78.306,25.0,False,81.881,2
233,HAM,Mercedes,Brazil,2016,5.19,70.513,25.0,False,70.736,2
234,RIC,Red Bull,Brazil,2016,12.75,70.513,25.0,False,71.53999999999999,2
235,HUL,Force India,Brazil,2016,8.6,70.513,25.0,False,72.104,2
236,PER,Force India,Brazil,2016,11.25,70.513,25.0,False,72.16499999999999,2
237,ALO,McLaren,Brazil,2016,8.8,70.513,25.0,False,72.266,2
238,BOT,Williams,Brazil,2016,7.6,70.513,25.0,False,72.42,2
239,SAI,Toro Rosso,Brazil,2016,10.63,70.513,25.0,False,72.92,2
240,MAG,Renault,Brazil,2016,11.0,70.513,25.0,False,73.41,2
241,OCO,Force India,Brazil,2016,14.67,70.513,25.0,False,73.432,2
242,HAM,Mercedes,Australia,2017,4.06,77.014,25.0,False,82.188,3
243,BOT,Mercedes,Australia,2017,12.33,77.014,25.0,False,82.481,3
244,VER,Red Bull,Australia,2017,4.13,77.014,25.0,False,83.485,3
245,SAI,Toro Rosso,Australia,2017,8.13,77.014,25.0,False,84.487,3
246,PER,Force India,Australia,2017,12.5,77.014,25.0,False,85.081,3
247,HUL,Renault,Australia,2017,10.91,77.014,25.0,False,85.09100000000001,3
248,ALO,McLaren,Australia,2017,8.42,77.014,25.0,False,85.425,3
249,OCO,Force India,Australia,2017,12.2,77.014,25.0,False,85.568,3
250,MAG,Haas,Australia,2017,12.0,77.014,25.0,False,86.84700000000001,3
251,STR,Williams,Australia,2017,13.83,77.014,25.0,False,87.143,3
252,HAM,Mercedes,China,2017,5.5,94.837,25.0,False,91.678,3
253,BOT,Mercedes,China,2017,6.25,94.837,25.0,False,91.865,3
254,RIC,Red Bull,China,2017,7.22,94.837,25.0,False,93.033,3
255,HUL,Renault,China,2017,11.0,94.837,25.0,False,93.58,3
256,PER,Force India,China,2017,10.0,94.837,25.0,False,93.706,3
257,STR,Williams,China,2017,13.75,94.837,25.0,False,94.22,3
258,SAI,Toro Rosso,China,2017,10.5,94.837,25.0,False,94.15,3
259,MAG,Haas,China,2017,13.5,94.837,25.0,False,94.164,3
260,ALO,McLaren,China,2017,6.31,94.837,25.0,False,94.372,3
261,VER,Red Bull,China,2017,8.17,94.837,25.0,False,95.43299999999999,3
262,OCO,Force India,China,2017,14.0,94.837,25.0,False,95.49600000000001,3
263,BOT,Mercedes,Bahrain,2017,5.92,90.021,25.0,False,88.769,3
264,HAM,Mercedes,Bahrain,2017,3.94,90.021,25.0,False,88.792,3
265,RIC,Red Bull,Bahrain,2017,8.69,90.021,25.0,False,89.545,3
266,VER,Red Bull,Bahrain,2017,5.64,90.021,25.0,False,89.687,3
267,HUL,Renault,Bahrain,2017,11.25,90.021,25.0,False,89.842,3
268,STR,Williams,Bahrain,2017,13.56,90.021,25.0,False,91.168,3
269,OCO,Force India,Bahrain,2017,11.88,90.021,25.0,False,91.684,3
270,SAI,Toro Rosso,Bahrain,2017,8.64,90.021,25.0,False,92.118,3
271,PER,Force India,Bahrain,2017,9.21,90.021,25.0,False,92.318,3
272,MAG,Haas,Bahrain,2017,13.4,90.021,25.0,False,92.9,3
273,BOT,Mercedes,Russia,2017,4.38,93.247,25.0,False,93.289,3
274,HAM,Mercedes,Russia,2017,3.25,93.247,25.0,False,93.767,3
275,RIC,Red Bull,Russia,2017,8.0,93.247,25.0,False,94.905,3
276,VER,Red Bull,Russia,2017,10.71,93.247,25.0,False,95.161,3
277,HUL,Renault,Russia,2017,10.33,93.247,25.0,False,95.285,3
278,PER,Force India,Russia,2017,8.13,93.247,25.0,False,95.337,3
279,OCO,Force India,Russia,2017,8.0,93.247,25.0,False,95.43,3
280,SAI,Toro Rosso,Russia,2017,9.86,93.247,25.0,False,95.94800000000001,3
281,STR,Williams,Russia,2017,11.6,93.247,25.0,False,95.964,3
282,MAG,Haas,Russia,2017,12.83,93.247,25.0,False,96.017,3
283,ALO,McLaren,Russia,2017,12.83,93.247,25.0,False,96.66,3
284,HAM,Mercedes,Spain,2017,4.33,72.256,25.0,False,79.149,3
285,BOT,Mercedes,Spain,2017,6.42,72.256,25.0,False,79.373,3
286,VER,Red Bull,Spain,2017,3.4,72.256,25.0,False,79.706,3
287,RIC,Red Bull,Spain,2017,9.5,72.256,25.0,False,80.175,3
288,ALO,McLaren,Spain,2017,7.29,72.256,25.0,False,81.048,3
289,PER,Force India,Spain,2017,10.0,72.256,25.0,False,81.07,3
290,OCO,Force India,Spain,2017,9.86,72.256,25.0,False,81.27199999999999,3
291,MAG,Haas,Spain,2017,12.44,72.256,25.0,False,81.32900000000001,3
292,SAI,Toro Rosso,Spain,2017,7.0,72.256,25.0,False,81.371,3
293,HUL,Renault,Spain,2017,13.45,72.256,25.0,False,81.39699999999999,3
294,STR,Williams,Spain,2017,13.0,72.256,25.0,False,82.411,3
295,BOT,Mercedes,Monaco,2017,10.0,71.266,25.0,False,72.223,3
296,VER,Red Bull,Monaco,2017,7.78,71.266,25.0,False,72.496,3
297,RIC,Red Bull,Monaco,2017,7.73,71.266,25.0,False,72.998,3
298,SAI,Toro Rosso,Monaco,2017,6.89,71.266,25.0,False,73.162,3
299,PER,Force India,Monaco,2017,11.17,71.266,25.0,False,73.32900000000001,3
300,HUL,Renault,Monaco,2017,11.64,71.266,25.0,False,73.628,3
301,MAG,Haas,Monaco,2017,13.63,71.266,25.0,False,73.959,3
302,HAM,Mercedes,Monaco,2017,5.47,71.266,25.0,False,74.106,3
303,OCO,Force India,Monaco,2017,9.33,71.266,25.0,False,74.101,3
304,STR,Williams,Monaco,2017,15.57,71.266,25.0,False,74.893,3
305,HAM,Mercedes,Canada,2017,2.47,72.705,25.0,False,71.459,3
306,BOT,Mercedes,Canada,2017,7.3,72.705,25.0,False,72.17699999999999,3
307,VER,Red Bull,Canada,2017,5.63,72.705,25.0,False,72.403,3
308,RIC,Red Bull,Canada,2017,7.4,72.705,25.0,False,72.557,3
309,PER,Force India,Canada,2017,12.27,72.705,25.0,False,73.018,3
310,OCO,Force India,Canada,2017,9.6,72.705,25.0,False,73.135,3
311,HUL,Renault,Canada,2017,9.73,72.705,25.0,False,73.271,3
312,ALO,McLaren,Canada,2017,6.37,72.705,25.0,False,73.693,3
313,SAI,Toro Rosso,Canada,2017,11.25,72.705,25.0,False,73.756,3
314,STR,Williams,Canada,2017,15.33,72.705,25.0,False,74.209,3
315,MAG,Haas,Canada,2017,14.38,72.705,25.0,False,74.318,3
316,BOT,Mercedes,Austria,2017,6.69,65.288,25.0,False,64.251,3
317,HAM,Mercedes,Austria,2017,4.23,65.288,25.0,False,64.424,3
318,RIC,Red Bull,Austria,2017,9.75,65.288,25.0,False,64.896,3
319,VER,Red Bull,Austria,2017,2.92,65.288,25.0,False,64.983,3
320,PER,Force India,Austria,2017,10.54,65.288,25.0,False,65.605,3
321,OCO,Force India,Austria,2017,11.22,65.288,25.0,False,65.674,3
322,SAI,Toro Rosso,Austria,2017,9.0,65.288,25.0,False,65.726,3
323,HUL,Renault,Austria,2017,8.75,65.288,25.0,False,65.597,3
324,ALO,McLaren,Austria,2017,14.08,65.288,25.0,False,65.602,3
325,STR,Williams,Austria,2017,11.9,65.288,25.0,False,66.608,3
326,BOT,Mercedes,Hungary,2017,6.08,76.498,25.0,False,76.53,3
327,HAM,Mercedes,Hungary,2017,3.5,76.498,25.0,False,76.707,3
328,VER,Red Bull,Hungary,2017,5.1,76.498,25.0,False,76.797,3
329,RIC,Red Bull,Hungary,2017,10.71,76.498,25.0,False,76.818,3
330,HUL,Renault,Hungary,2017,10.73,76.498,25.0,False,77.468,3
331,ALO,McLaren,Hungary,2017,7.29,76.498,25.0,False,77.549,3
332,SAI,Toro Rosso,Hungary,2017,8.1,76.498,25.0,False,78.912,3
333,OCO,Force India,Hungary,2017,12.29,76.498,25.0,False,78.495,3
334,PER,Force India,Hungary,2017,11.57,76.498,25.0,False,78.639,3
335,MAG,Haas,Hungary,2017,15.67,76.498,25.0,False,79.095,3
336,STR,Williams,Hungary,2017,13.25,76.498,25.0,False,79.102,3
337,VER,Red Bull,Singapore,2017,5.57,92.076,25.0,False,99.814,3
338,RIC,Red Bull,Singapore,2017,9.9,92.076,25.0,False,99.84,3
339,HAM,Mercedes,Singapore,2017,2.93,92.076,25.0,False,100.126,3
340,BOT,Mercedes,Singapore,2017,9.67,92.076,25.0,False,100.81,3
341,HUL,Renault,Singapore,2017,10.5,92.076,25.0,False,101.013,3
342,ALO,McLaren,Singapore,2017,7.31,92.076,25.0,False,101.179,3
343,SAI,Toro Rosso,Singapore,2017,7.71,92.076,25.0,False,102.056,3
344,PER,Force India,Singapore,2017,12.09,92.076,25.0,False,102.24600000000001,3
345,OCO,Force India,Singapore,2017,13.8,92.076,25.0,False,102.75999999999999,3
346,MAG,Haas,Singapore,2017,12.0,92.076,25.0,False,103.756,3
347,STR,Williams,Singapore,2017,17.0,92.076,25.0,False,104.72800000000001,3
348,VER,Red Bull,Mexico,2017,3.25,78.306,25.0,False,76.574,3
349,HAM,Mercedes,Mexico,2017,2.88,78.306,25.0,False,76.934,3
350,BOT,Mercedes,Mexico,2017,5.63,78.306,25.0,False,76.958,3
351,OCO,Force India,Mexico,2017,13.5,78.306,25.0,False,77.437,3
352,RIC,Red Bull,Mexico,2017,7.63,78.306,25.0,False,77.447,3
353,HUL,Renault,Mexico,2017,8.83,78.306,25.0,False,77.46600000000001,3
354,SAI,Toro Rosso,Mexico,2017,7.13,78.306,25.0,False,77.794,3
355,PER,Force India,Mexico,2017,8.38,78.306,25.0,False,77.807,3
356,STR,Williams,Mexico,2017,17.33,78.306,25.0,False,79.15899999999999,3
357,MAG,Haas,Mexico,2017,16.0,78.306,25.0,False,79.443,3
